question;answer;difficulty;diff_score
Karaciğer ile ilgili: Hepatit C tedavi edilebilir mi;Evet, yeni ilaçlar sayesinde çoğu Hepatit C vakası tamamen tedavi edilebilmektedir.;zor;1936
Karaciğer ile ilgili: Hepatit C hastalığı tamamen iyileştirilebilir mi?;Evet, yeni ilaçlar sayesinde çoğu Hepatit C vakası tamamen tedavi edilebilmektedir.;zor;1823
Karaciğer ile ilgili: Hepatit C için kesin çözüm var mı?;Evet, yeni ilaçlar sayesinde çoğu Hepatit C vakası tamamen tedavi edilebilmektedir.;zor;1838
Karaciğer ile ilgili: Hepatit C geçer mi?;Evet, yeni ilaçlar sayesinde çoğu Hepatit C vakası tamamen tedavi edilebilmektedir.;orta;1373
Karaciğer kendini yeniler mi;"Evet, karaciğer yenilenme kapasitesine sahip tek organdır; ancak sürekli hasar görürse bu yetenek azalır.";kolay;684
Karaciğer dokusu tekrar oluşabilir mi?;"Evet, karaciğer yenilenme kapasitesine sahip tek organdır; ancak sürekli hasar görürse bu yetenek azalır.";orta;1244
Karaciğer hücreleri yeniden büyür mü?;"Evet, karaciğer yenilenme kapasitesine sahip tek organdır; ancak sürekli hasar görürse bu yetenek azalır.";orta;1241
Karaciğer hücreleri tekrar oluşur mu?;"Evet, karaciğer yenilenme kapasitesine sahip tek organdır; ancak sürekli hasar görürse bu yetenek azalır.";orta;1241
Karaciğer nakli kimlere yapılır;İleri derecede siroz, karaciğer yetmezliği veya tedavi edilemeyen karaciğer kanseri olan hastalara nakil önerilir.;kolay;813
Karaciğer nakli hangi hastalara uygulanır?;İleri derecede siroz, karaciğer yetmezliği veya tedavi edilemeyen karaciğer kanseri olan hastalara nakil önerilir.;orta;1256
Karaciğer transplantasyonu kimler için gereklidir?;İleri derecede siroz, karaciğer yetmezliği veya tedavi edilemeyen karaciğer kanseri olan hastalara nakil önerilir.;orta;128
Kimler karaciğer nakli olabilir?;İleri derecede siroz, karaciğer yetmezliği veya tedavi edilemeyen karaciğer kanseri olan hastalara nakil önerilir.;kolay;1166
Karaciğer nakli riskli midir;"Evet, büyük bir cerrahi işlemdir; reddetme riski, enfeksiyon ve komplikasyonlar görülebilir.";kolay;804
Karaciğer nakli sırasında hangi riskler vardır?;"Evet, büyük bir cerrahi işlemdir; reddetme riski, enfeksiyon ve komplikasyonlar görülebilir.";orta;1451
Karaciğer nakli tehlikeli bir işlem mi?;"Evet, büyük bir cerrahi işlemdir; reddetme riski, enfeksiyon ve komplikasyonlar görülebilir.";orta;1427
Karaciğer nakli yaptırmak riskli mi?;"Evet, büyük bir cerrahi işlemdir; reddetme riski, enfeksiyon ve komplikasyonlar görülebilir.";kolay;1238
Karaciğer hastalıklarında hangi testler yapılır;Kan testleri (ALT, AST, bilirubin), görüntüleme (USG, MR, BT) ve gerekirse biyopsi yapılır.;kolay;921
Karaciğer hastalıklarında tanı için hangi testler kullanılır?;Kan testleri (ALT, AST, bilirubin), görüntüleme (USG, MR, BT) ve gerekirse biyopsi yapılır.;orta;1553
Karaciğer hastalıklarında hangi tahliller istenir?;Kan testleri (ALT, AST, bilirubin), görüntüleme (USG, MR, BT) ve gerekirse biyopsi yapılır.;orta;128
Karaciğer hastalığı için hangi testlere bakılır?;Kan testleri (ALT, AST, bilirubin), görüntüleme (USG, MR, BT) ve gerekirse biyopsi yapılır.;orta;1334
Karaciğer ultrasonu neyi gösterir;Karaciğerin boyutunu, yağlanmayı, kitle veya tümör varlığını, safra yollarını inceler.;kolay;819
Karaciğer ultrasonunda neler değerlendirilir?;Karaciğerin boyutunu, yağlanmayı, kitle veya tümör varlığını, safra yollarını inceler.;kolay;1205
Karaciğer ultrasonu ile hangi bulgular saptanır?;Karaciğerin boyutunu, yağlanmayı, kitle veya tümör varlığını, safra yollarını inceler.;orta;1334
Karaciğer ultrasonu ne işe yarar?;Karaciğerin boyutunu, yağlanmayı, kitle veya tümör varlığını, safra yollarını inceler.;kolay;1229
Alkol karaciğere nasıl zarar verir;Aşırı alkol tüketimi karaciğer hücrelerini öldürür, iltihap ve skar oluşumuna yol açar.;zor;1782
Alkolün karaciğere etkisi nedir?;Aşırı alkol tüketimi karaciğer hücrelerini öldürür, iltihap ve skar oluşumuna yol açar.;kolay;366
Alkol kullanımı karaciğeri nasıl etkiler?;Aşırı alkol tüketimi karaciğer hücrelerini öldürür, iltihap ve skar oluşumuna yol açar.;zor;2153
Alkol karaciğeri nasıl bozar?;Aşırı alkol tüketimi karaciğer hücrelerini öldürür, iltihap ve skar oluşumuna yol açar.;zor;1937
Yağlı karaciğer nasıl anlaşılır;Genelde belirti vermez, kan testleri ve ultrason ile teşhis edilir.;kolay;693
Yağlı karaciğerin tanısı nasıl konur?;Genelde belirti vermez, kan testleri ve ultrason ile teşhis edilir.;orta;1241
Karaciğerde yağlanma nasıl tespit edilir?;Genelde belirti vermez, kan testleri ve ultrason ile teşhis edilir.;orta;1253
Yağlı karaciğer olup olmadığı nasıl anlaşılır?;Genelde belirti vermez, kan testleri ve ultrason ile teşhis edilir.;orta;1448
Karaciğer kisti nedir;Karaciğerde içi sıvı dolu, genelde iyi huylu keseciklerdir.;kolay;-197
Karaciğer kisti ne anlama gelir?;Karaciğerde içi sıvı dolu, genelde iyi huylu keseciklerdir.;kolay;426
Karaciğerdeki kistler nedir?;Karaciğerde içi sıvı dolu, genelde iyi huylu keseciklerdir.;kolay;174
Karaciğerde kist olması ne demek?;Karaciğerde içi sıvı dolu, genelde iyi huylu keseciklerdir.;kolay;429
Karaciğer tümörü kötü huylu mu olur;Bazı tümörler iyi huyludur (hemanjiyom), bazıları kötü huylu olabilir (HCC).;kolay;1065
Karaciğer tümörleri genellikle kötü huylu mudur?;Bazı tümörler iyi huyludur (hemanjiyom), bazıları kötü huylu olabilir (HCC).;orta;1574
Karaciğerdeki tümörler zararlı mı?;Bazı tümörler iyi huyludur (hemanjiyom), bazıları kötü huylu olabilir (HCC).;kolay;1052
Karaciğerde tümör çıkarsa kötü mü olur?;Bazı tümörler iyi huyludur (hemanjiyom), bazıları kötü huylu olabilir (HCC).;orta;1427
Karaciğer metastazı nedir;Başka bir organdaki kanserin karaciğere yayılmasıdır. En sık kolorektal kanserlerde görülür.;kolay;-185
Karaciğere metastaz ne demektir?;Başka bir organdaki kanserin karaciğere yayılmasıdır. En sık kolorektal kanserlerde görülür.;kolay;1046
Karaciğerde metastaz oluşumu nedir?;Başka bir organdaki kanserin karaciğere yayılmasıdır. En sık kolorektal kanserlerde görülür.;kolay;375
Karaciğere başka yerden kanser sıçrar mı?;Başka bir organdaki kanserin karaciğere yayılmasıdır. En sık kolorektal kanserlerde görülür.;orta;1433
Karaciğer hastalıklarında diyet nasıl olmalı;Yağdan fakir, taze sebze-meyve ağırlıklı, tuz ve şeker kısıtlı diyet önerilir.;zor;1612
Karaciğer hastalıklarında beslenme nasıl düzenlenmeli?;Yağdan fakir, taze sebze-meyve ağırlıklı, tuz ve şeker kısıtlı diyet önerilir.;zor;1992
Karaciğer hastalığı olanlar nasıl beslenmeli?;Yağdan fakir, taze sebze-meyve ağırlıklı, tuz ve şeker kısıtlı diyet önerilir.;kolay;1145
Karaciğer hastalığında ne yemeli, ne yememeli?;Yağdan fakir, taze sebze-meyve ağırlıklı, tuz ve şeker kısıtlı diyet önerilir.;orta;1578
Karaciğer ile ilgili: Hepatit taşıyıcıları nelere dikkat etmeli;Kan yoluyla bulaştırmamaya dikkat etmeli, düzenli doktor kontrolünde olmalı, aşı takvimine uymalıdır.;orta;1389
Karaciğer ile ilgili: Hepatit taşıyıcıları için önemli noktalar nelerdir?;Kan yoluyla bulaştırmamaya dikkat etmeli, düzenli doktor kontrolünde olmalı, aşı takvimine uymalıdır.;zor;1829
Karaciğer ile ilgili: Hepatit virüsü taşıyanlar neye dikkat etmeli?;Kan yoluyla bulaştırmamaya dikkat etmeli, düzenli doktor kontrolünde olmalı, aşı takvimine uymalıdır.;zor;1931
Karaciğer ile ilgili: Hepatit taşıyıcısı olanlar nelere dikkat etmeli?;Kan yoluyla bulaştırmamaya dikkat etmeli, düzenli doktor kontrolünde olmalı, aşı takvimine uymalıdır.;zor;182
Karaciğer ile ilgili: Hamilelikte hepatit B tehlikeli midir;Anneden bebeğe geçiş riski vardır, doğumda önlem alınmalı ve bebek aşılanmalıdır.;orta;1377
Karaciğer ile ilgili: Hamilelikte hepatit B riski nedir?;Anneden bebeğe geçiş riski vardır, doğumda önlem alınmalı ve bebek aşılanmalıdır.;kolay;918
Karaciğer ile ilgili: Hamilelikte hepatit B bulaşır mı?;Anneden bebeğe geçiş riski vardır, doğumda önlem alınmalı ve bebek aşılanmalıdır.;orta;1595
Karaciğer ile ilgili: Hamileyken hepatit B olursa ne olur?;Anneden bebeğe geçiş riski vardır, doğumda önlem alınmalı ve bebek aşılanmalıdır.;zor;2384
Karaciğer kanseri erken teşhis edilebilir mi;Risk gruplarında düzenli tarama (USG, AFP testi) ile erken tanı mümkündür.;kolay;1092
Karaciğer kanseri erken dönemde tespit edilebilir mi?;Risk gruplarında düzenli tarama (USG, AFP testi) ile erken tanı mümkündür.;zor;1649
Karaciğer kanseri için erken tanı mümkün mü?;Risk gruplarında düzenli tarama (USG, AFP testi) ile erken tanı mümkündür.;orta;1502
Karaciğer kanseri baştan anlaşılır mı?;Risk gruplarında düzenli tarama (USG, AFP testi) ile erken tanı mümkündür.;orta;1244
Karaciğer ile ilgili: AFP testi nedir;"Alfa-fetoprotein testi, karaciğer kanserinde yükselir; tarama ve takipte kullanılır.";kolay;151
Karaciğer ile ilgili: AFP testi ne işe yarar?;"Alfa-fetoprotein testi, karaciğer kanserinde yükselir; tarama ve takipte kullanılır.";orta;1565
Karaciğer ile ilgili: Alfa-fetoprotein testi nedir?;"Alfa-fetoprotein testi, karaciğer kanserinde yükselir; tarama ve takipte kullanılır.";kolay;723
Karaciğer ile ilgili: AFP testi neden yapılır?;"Alfa-fetoprotein testi, karaciğer kanserinde yükselir; tarama ve takipte kullanılır.";zor;1988
Karaciğer hastalıklarında hangi vitaminler önemlidir;"D vitamini, B12 ve folat düzeyleri takip edilir; eksiklikler desteklenebilir.";kolay;936
Karaciğer hastalıklarında önemli vitaminler hangileridir?;"D vitamini, B12 ve folat düzeyleri takip edilir; eksiklikler desteklenebilir.";orta;1421
Karaciğer hastalığında hangi vitaminler takip edilmeli?;"D vitamini, B12 ve folat düzeyleri takip edilir; eksiklikler desteklenebilir.";orta;1475
Karaciğer hastalığı olanlar hangi vitaminleri almalı?;"D vitamini, B12 ve folat düzeyleri takip edilir; eksiklikler desteklenebilir.";orta;1349
Obezite karaciğer hastalığı yapar mı;Evet, obezite NAFLD’nin en büyük risk faktörlerinden biridir.;kolay;888
Obezite karaciğer hastalığına sebep olur mu?;Evet, obezite NAFLD’nin en büyük risk faktörlerinden biridir.;zor;2042
Şişmanlık karaciğeri bozar mı?;Evet, obezite NAFLD’nin en büyük risk faktörlerinden biridir.;kolay;104
Kilolu olmak karaciğeri etkiler mi?;Evet, obezite NAFLD’nin en büyük risk faktörlerinden biridir.;kolay;1235
Karaciğer sağlığı için egzersiz önemli mi;Düzenli fiziksel aktivite, kilo kontrolü sağlar ve yağlı karaciğer riskini azaltır.;kolay;963
Karaciğer sağlığı için sporun önemi nedir?;Düzenli fiziksel aktivite, kilo kontrolü sağlar ve yağlı karaciğer riskini azaltır.;kolay;636
Egzersiz karaciğeri korur mu?;Düzenli fiziksel aktivite, kilo kontrolü sağlar ve yağlı karaciğer riskini azaltır.;kolay;1037
Karaciğer için hareket etmek faydalı mı?;Düzenli fiziksel aktivite, kilo kontrolü sağlar ve yağlı karaciğer riskini azaltır.;orta;131
Karaciğer ile ilgili: Sirozda asit nedir;"Karın boşluğunda sıvı birikmesidir; karaciğer yetmezliği belirtisidir.";kolay;16
Karaciğer ile ilgili: Sirozda asit oluşumu ne demektir?;"Karın boşluğunda sıvı birikmesidir; karaciğer yetmezliği belirtisidir.";orta;1595
Karaciğer ile ilgili: Asit birikimi sirozda ne anlama gelir?;"Karın boşluğunda sıvı birikmesidir; karaciğer yetmezliği belirtisidir.";kolay;99
Karaciğer ile ilgili: Sirozda karında sıvı neden olur?;"Karın boşluğunda sıvı birikmesidir; karaciğer yetmezliği belirtisidir.";zor;2192
Karaciğer ile ilgili: Asit nasıl tedavi edilir;İdrar söktürücü ilaçlar, tuz kısıtlaması, gerekirse sıvı boşaltımı yapılır.;zor;1738
Karaciğer ile ilgili: Asit tedavisinde hangi yöntemler kullanılır?;İdrar söktürücü ilaçlar, tuz kısıtlaması, gerekirse sıvı boşaltımı yapılır.;zor;1628
Karaciğer ile ilgili: Asit birikimi nasıl giderilir?;İdrar söktürücü ilaçlar, tuz kısıtlaması, gerekirse sıvı boşaltımı yapılır.;orta;1406
Karaciğer ile ilgili: Karında sıvı varsa ne yapılır?;İdrar söktürücü ilaçlar, tuz kısıtlaması, gerekirse sıvı boşaltımı yapılır.;orta;1586
Karaciğer ile ilgili: Portal hipertansiyon nedir;"Sirozda karaciğere gelen damarlarda basınç artışı olur; varis, asit oluşumuna sebep olur.";kolay;584
Karaciğer ile ilgili: Portal hipertansiyonun tanımı nedir?;"Sirozda karaciğere gelen damarlarda basınç artışı olur; varis, asit oluşumuna sebep olur.";kolay;744
Karaciğerde portal basınç artışı ne demek?;"Sirozda karaciğere gelen damarlarda basınç artışı olur; varis, asit oluşumuna sebep olur.";kolay;636
Karaciğer ile ilgili: Portal hipertansiyon olursa ne olur?;"Sirozda karaciğere gelen damarlarda basınç artışı olur; varis, asit oluşumuna sebep olur.";zor;2604
Karaciğer ile ilgili: Özofagus varisi nedir;"Portal hipertansiyon sonucu yemek borusunda genişleyen damarlardır; kanama riski taşır.";kolay;169
Karaciğer ile ilgili: Özofagus varislerinin anlamı nedir?;"Portal hipertansiyon sonucu yemek borusunda genişleyen damarlardır; kanama riski taşır.";kolay;741
Karaciğer ile ilgili: Yemek borusunda varis olması ne demek?;"Portal hipertansiyon sonucu yemek borusunda genişleyen damarlardır; kanama riski taşır.";kolay;99
Karaciğer ile ilgili: Özofagus varisi çıkarsa ne olur?;"Portal hipertansiyon sonucu yemek borusunda genişleyen damarlardır; kanama riski taşır.";orta;1592
Karaciğer hastalığında kanama riski neden artar;"Karaciğer pıhtılaşma faktörlerini üretir; hasarlandığında kanama eğilimi artar.";zor;1701
Karaciğer hastalığında kanama eğilimi neden olur?;"Karaciğer pıhtılaşma faktörlerini üretir; hasarlandığında kanama eğilimi artar.";zor;2057
Karaciğer hastalığında kanama neden olur?;"Karaciğer pıhtılaşma faktörlerini üretir; hasarlandığında kanama eğilimi artar.";zor;1853
Karaciğer hastalığı olanlar neden kolay kanar?;"Karaciğer pıhtılaşma faktörlerini üretir; hasarlandığında kanama eğilimi artar.";zor;1928
Karaciğer hastalıkları cinsel yolla bulaşır mı;"Hepatit B ve C cinsel temasla bulaşabilir; diğer hastalıklar bulaşmaz.";kolay;1098
Karaciğer hastalıkları cinsel temasla geçer mi?;"Hepatit B ve C cinsel temasla bulaşabilir; diğer hastalıklar bulaşmaz.";orta;1451
Karaciğer hastalıkları cinsel ilişkiyle bulaşır mı?;"Hepatit B ve C cinsel temasla bulaşabilir; diğer hastalıklar bulaşmaz.";orta;1463
Karaciğer hastalığı olanla cinsel temas riskli mi?;"Hepatit B ve C cinsel temasla bulaşabilir; diğer hastalıklar bulaşmaz.";zor;164
Karaciğer yağlanması geri döner mi;Erken dönemde kilo verme ve yaşam tarzı değişikliğiyle tamamen düzelebilir.;kolay;882
Karaciğer yağlanması tamamen iyileşir mi?;Erken dönemde kilo verme ve yaşam tarzı değişikliğiyle tamamen düzelebilir.;orta;1253
Yağlı karaciğer düzelebilir mi?;Erken dönemde kilo verme ve yaşam tarzı değişikliğiyle tamamen düzelebilir.;kolay;1043
Karaciğer yağlanması geçer mi?;Erken dönemde kilo verme ve yaşam tarzı değişikliğiyle tamamen düzelebilir.;kolay;104
Karaciğer fonksiyon testleri nelerdir;ALT, AST, ALP, GGT, bilirubin ve albümin değerleri değerlendirilir.;kolay;831
Karaciğerin çalışmasını gösteren testler hangileridir?;ALT, AST, ALP, GGT, bilirubin ve albümin değerleri değerlendirilir.;orta;1412
Karaciğer fonksiyonunu ölçen tahliller nelerdir?;ALT, AST, ALP, GGT, bilirubin ve albümin değerleri değerlendirilir.;orta;1394
Karaciğer fonksiyon testleri neleri kapsar?;ALT, AST, ALP, GGT, bilirubin ve albümin değerleri değerlendirilir.;orta;1379
Karaciğer ile ilgili: ALT nedir;"Alanin aminotransferaz; karaciğer hasarında kanda yükselir.";kolay;-47
Karaciğer ile ilgili: ALT testi neyi gösterir?;"Alanin aminotransferaz; karaciğer hasarında kanda yükselir.";orta;1508
Karaciğer ile ilgili: Alanin aminotransferaz nedir?;"Alanin aminotransferaz; karaciğer hasarında kanda yükselir.";kolay;543
Karaciğer ile ilgili: ALT yüksekliği ne anlama gelir?;"Alanin aminotransferaz; karaciğer hasarında kanda yükselir.";kolay;789
Karaciğer ile ilgili: AST nedir;"Aspartat aminotransferaz; karaciğer ve kalp kası hasarında artabilir.";kolay;-47
Karaciğer ile ilgili: AST testi neyi gösterir?;"Aspartat aminotransferaz; karaciğer ve kalp kası hasarında artabilir.";orta;1508
Karaciğer ile ilgili: Aspartat aminotransferaz nedir?;"Aspartat aminotransferaz; karaciğer ve kalp kası hasarında artabilir.";kolay;549
Karaciğer ile ilgili: AST yüksekliği ne demek?;"Aspartat aminotransferaz; karaciğer ve kalp kası hasarında artabilir.";kolay;588
Karaciğer enzimi yüksekliği tehlikeli mi;"Tek başına tanı koydurmaz; sebep araştırılmalı ve doktor takibi gerekir.";kolay;9
Karaciğer enzimlerinin yüksek olması riskli mi?;"Tek başına tanı koydurmaz; sebep araştırılmalı ve doktor takibi gerekir.";orta;1451
Karaciğer enzimleri yüksek çıkarsa ne olur?;"Tek başına tanı koydurmaz; sebep araştırılmalı ve doktor takibi gerekir.";orta;1439
Karaciğer enzimleri yüksekse ne yapmalı?;"Tek başına tanı koydurmaz; sebep araştırılmalı ve doktor takibi gerekir.";zor;185
Karaciğer ile ilgili: Hepatit B taşıyıcısı ne demek;Kişi aktif hastalık belirtisi göstermese de virüsü başkalarına bulaştırabilir.;kolay;433
Karaciğer ile ilgili: Hepatit B taşıyıcılığı nedir?;Kişi aktif hastalık belirtisi göstermese de virüsü başkalarına bulaştırabilir.;kolay;723
Karaciğer ile ilgili: Hepatit B virüsü taşıyan ne anlama gelir?;Kişi aktif hastalık belirtisi göstermese de virüsü başkalarına bulaştırabilir.;kolay;1179
Karaciğer ile ilgili: Hepatit B taşıyıcısı olmak ne demek?;Kişi aktif hastalık belirtisi göstermese de virüsü başkalarına bulaştırabilir.;kolay;984
Karaciğer ile ilgili: Hepatit B taşıyıcısı asker olabilir mi;"Duruma göre değişir; aktif hastalık yoksa genelde engel değildir ama rapor gerektirir.";orta;144
Karaciğer ile ilgili: Hepatit B taşıyıcıları askerlik yapabilir mi?;"Duruma göre değişir; aktif hastalık yoksa genelde engel değildir ama rapor gerektirir.";zor;1811
Karaciğer ile ilgili: Hepatit B taşıyıcısı askere alınır mı?;"Duruma göre değişir; aktif hastalık yoksa genelde engel değildir ama rapor gerektirir.";zor;179
Karaciğer ile ilgili: Hepatit B taşıyıcısı askerlikte sorun olur mu?;"Duruma göre değişir; aktif hastalık yoksa genelde engel değildir ama rapor gerektirir.";zor;1994
Karaciğer ile ilgili: Hepatit A aşısı kimlere önerilir;Seyahat edenlere, hijyen koşulları kötü bölgelerde yaşayanlara önerilir.;orta;1362
Karaciğer ile ilgili: Hepatit A aşısı hangi gruplara yapılmalı?;Seyahat edenlere, hijyen koşulları kötü bölgelerde yaşayanlara önerilir.;zor;1799
Karaciğer ile ilgili: Hepatit A aşısı kimlere yapılır?;Seyahat edenlere, hijyen koşulları kötü bölgelerde yaşayanlara önerilir.;zor;1712
Karaciğer ile ilgili: Hepatit A aşısı kimler için gereklidir?;Seyahat edenlere, hijyen koşulları kötü bölgelerde yaşayanlara önerilir.;zor;1793
Karaciğer ile ilgili: Hepatit B aşısı kaç doz yapılır;"Üç doz şeklinde yapılır; ilk dozdan sonra 1 ve 6. aylarda tekrar edilir.";zor;2839
Karaciğer ile ilgili: Hepatit B aşısı toplam kaç doz uygulanır?;"Üç doz şeklinde yapılır; ilk dozdan sonra 1 ve 6. aylarda tekrar edilir.";zor;3399
Karaciğer ile ilgili: Hepatit B aşısı kaç defa yapılır?;"Üç doz şeklinde yapılır; ilk dozdan sonra 1 ve 6. aylarda tekrar edilir.";zor;1895
Karaciğer ile ilgili: Hepatit B aşısı kaç kere yapılmalı?;"Üç doz şeklinde yapılır; ilk dozdan sonra 1 ve 6. aylarda tekrar edilir.";zor;1901
Karaciğer ile ilgili: Hepatit B aşısı ömür boyu korur mu;Genelde uzun süre korur ama bazı durumlarda rapel doz gerekebilir.;zor;1608
Karaciğer ile ilgili: Hepatit B aşısı kalıcı koruma sağlar mı?;Genelde uzun süre korur ama bazı durumlarda rapel doz gerekebilir.;zor;1976
Karaciğer ile ilgili: Hepatit B aşısı hayat boyu yeterli mi?;Genelde uzun süre korur ama bazı durumlarda rapel doz gerekebilir.;zor;197
Karaciğer ile ilgili: Hepatit B aşısı tekrar gerekir mi?;Genelde uzun süre korur ama bazı durumlarda rapel doz gerekebilir.;zor;1778
Karaciğer hastalarında aşılama önemli mi;Evet, hepatit A ve B aşıları riskli gruplar için koruyucudur.;kolay;9
Karaciğer hastalığı olanlar için aşı gerekli mi?;Evet, hepatit A ve B aşıları riskli gruplar için koruyucudur.;zor;2094
Karaciğer hastalığında aşı yaptırmak önemli mi?;Evet, hepatit A ve B aşıları riskli gruplar için koruyucudur.;zor;2151
Karaciğer hastalığı olanlar aşı olmalı mı?;Evet, hepatit A ve B aşıları riskli gruplar için koruyucudur.;zor;2016
Karaciğer kanseri hangi evrede nakil yapılır;Erken evrede, tümör boyutu ve sayısı uygun olan hastalar nakil adayı olabilir.;zor;1792
Karaciğer kanserinde nakil hangi aşamada yapılır?;Erken evrede, tümör boyutu ve sayısı uygun olan hastalar nakil adayı olabilir.;zor;2157
Karaciğer kanserinde nakil için uygun evre nedir?;Erken evrede, tümör boyutu ve sayısı uygun olan hastalar nakil adayı olabilir.;zor;2337
Karaciğer kanserinde nakil ne zaman yapılır?;Erken evrede, tümör boyutu ve sayısı uygun olan hastalar nakil adayı olabilir.;zor;2142
Karaciğer hastalıklarında bitkisel tedavi işe yarar mı;"Bilimsel kanıt yetersizdir; doktor onayı olmadan bitkisel ürün kullanılmamalıdır.";zor;2002
Karaciğer hastalığında bitkisel ürünler etkili mi?;"Bilimsel kanıt yetersizdir; doktor onayı olmadan bitkisel ürün kullanılmamalıdır.";orta;146
Karaciğer hastalığında doğal tedavi işe yarar mı?;"Bilimsel kanıt yetersizdir; doktor onayı olmadan bitkisel ürün kullanılmamalıdır.";zor;2337
Karaciğer hastalığında bitkisel ilaçlar kullanılmalı mı?;"Bilimsel kanıt yetersizdir; doktor onayı olmadan bitkisel ürün kullanılmamalıdır.";orta;1478
Karaciğer detoksu nedir;Genelde bilimsel temeli olmayan, ticari amaçlı diyet veya takviye önerileridir.;kolay;-191
Karaciğer detoksunun anlamı nedir?;Genelde bilimsel temeli olmayan, ticari amaçlı diyet veya takviye önerileridir.;kolay;372
Karaciğer temizliği nedir?;Genelde bilimsel temeli olmayan, ticari amaçlı diyet veya takviye önerileridir.;kolay;168
Karaciğer detoksu gerçekten işe yarar mı?;Genelde bilimsel temeli olmayan, ticari amaçlı diyet veya takviye önerileridir.;orta;1433
Karaciğer hastalığı kronik midir;Pek çok karaciğer hastalığı (siroz, kronik hepatit) kronik seyirlidir.;kolay;816
Karaciğer hastalıkları genellikle kronik mi olur?;Pek çok karaciğer hastalığı (siroz, kronik hepatit) kronik seyirlidir.;orta;1457
Karaciğer hastalığı uzun süreli midir?;Pek çok karaciğer hastalığı (siroz, kronik hepatit) kronik seyirlidir.;orta;1364
Karaciğer hastalığı hep devam eder mi?;Pek çok karaciğer hastalığı (siroz, kronik hepatit) kronik seyirlidir.;orta;1424
Karaciğer enzimleri diyetle düşer mi;Sağlıklı beslenme, alkolü bırakmak ve kilo kontrolü enzimleri normale döndürebilir.;kolay;888
Karaciğer enzimleri beslenmeyle azalır mı?;Sağlıklı beslenme, alkolü bırakmak ve kilo kontrolü enzimleri normale döndürebilir.;orta;1256
